name,type,gasconstant,gasconstant_unit,gasvariable,powerconstant,powerconstant_unit,powervariable_low,powervariable_high,powergen_low,powergen_high,bonus
GreenChoice NL windstroom 1 jaar vast,vast,,,,10.2558333333,month,0.31974,0.374,0.08,0.08,0
Gewoon EU groen stroom 1 jaar vast,vast,,,,95.59,year,0.28732,0.30123,0.07,0.07,0
Oxxio 1 jaar,vast,71.87,year,1.20192,71.87,year,0.31179,0.31179,0.09,0.09,0
Frank energie flex gas,flexible,84.00,year,1.14464,,,,,,,40
Budget energie gas,flexible,71.88,year,1.17129,,,,,,,0
Essent Stroom & Gas 1 jaar,vast,95.83,year,1.46375,119.79,year,0.42229,0.42471,0.0550,0.0550,50
Zonnepark Welschap (GreenChoice) 3 jaar,vast,93.42,year,1.32124,93.42,year,0.36739,0.37571,0.115,0.115,0
Innova energie via Independer 1 jaar,vast,7.96583,month,1.23462,7.96583,month,0.28732,0.30123,0.07,0.07,0
Innova energie via Independer 3 jaar,vast,7.96583,month,1.25444,7.96583,month,0.31568,0.33158,0.07,0.07,0
Innova energie 3 jaar,vast,95.59,year,0.5490012,95.59,year,0.1840289,0.1999283,0.07,0.07,0
Coolblue via Independer 1 jaar,vast,7.5,month,1.24401,20,month,0.26064,0.26983,0.05,0.05,100
GreenChoice via Independer 1 jaar gas,vast,8.18833,month,1.26204,,,,,,92.50
GreenChoice via Independer 2 jaar gas,vast,8.18833,month,1.21501,,,,,,0
Pure Energie via Independer 1 jaar gas,vast,8.99,month,1.28556,,,,,,90,
Pure Energie 1 jaar stroom+gas,vast,107.88,year,0.58012,107.88,year,0.16224,0.16677,0.06,0.06,0
Pure Energie via Independer 1 jaar gas+stroom,vast,8.99,month,1.28556,8.99,month,0.29389,0.29842,0.06,0.06,0
Budget Energie,flexible,5.99,month,1.17129,5.99,month,0.27012,0.27811,0.05,0.05,0
Vattenfall 1 jaar vast,vast,71.87,year,1.279224,131.84,year,0.285802,0.332266,0.045,0.045,0
UnitedConsumers 1 jaar,vast,142.34,year,1.32777,142.34,year,0.30601,0.36639,0.05,0.05,200
